timestamp,equity,cash,position_qty,price
2026-01-28T00:00:05+00:00,1000.0,988.798278,0.0002240423,49998.24
2026-01-28T00:00:06+00:00,1000.002686,977.595131,0.0004480594,50010.23
2026-01-28T00:00:06+00:00,999.976089,988.786239,0.0002240171,49950.87
2026-01-28T00:00:06+00:00,999.978957,999.978957,0.0,49963.67
2026-01-28T00:00:24+00:00,999.978957,988.777874,0.0002240586,49991.75
2026-01-28T00:00:24+00:00,999.981047,999.981047,0.0,50001.08
2026-01-28T00:00:29+00:00,999.981047,988.770926,0.0002240539,50033.15
2026-01-28T00:00:29+00:00,999.962641,999.962641,0.0,49951.0
2026-01-28T00:00:51+00:00,999.962641,988.768187,0.0002240994,49953.08
2026-01-28T00:00:51+00:00,999.977708,999.977708,0.0,50020.31
2026-01-28T00:02:29+00:00,999.977708,988.757326,0.0002241873,50049.13
2026-01-28T00:02:32+00:00,999.967119,977.544752,0.0004484303,50001.9
2026-01-28T00:02:33+00:00,999.973061,988.760297,0.0002241873,50015.15
2026-01-28T00:04:39+00:00,999.968869,977.54529,0.0004485034,49996.45
2026-01-28T00:04:39+00:00,999.99228,988.772006,0.0002241873,50048.65
2026-01-28T00:04:42+00:00,999.97511,977.564727,0.0004484583,49972.06
2026-01-28T00:06:10+00:00,999.991869,966.349172,0.0006727271,50009.43
2026-01-28T00:06:10+00:00,999.998401,977.566904,0.0004484583,50019.14
2026-01-28T00:06:23+00:00,999.994867,966.352861,0.0006726886,50011.26
2026-01-28T00:06:23+00:00,999.991154,977.565667,0.0004484583,50005.74
2026-01-28T00:06:39+00:00,1000.001464,966.348396,0.0006726748,50028.73
2026-01-28T00:06:39+00:00,1000.002863,977.566133,0.0004484583,50030.81
2026-01-28T00:06:44+00:00,999.978794,966.361813,0.0006726472,49977.14
2026-01-28T00:06:44+00:00,1000.013873,977.577825,0.0004484583,50029.29
2026-01-28T00:06:54+00:00,1000.022995,966.359621,0.0006725999,50049.63
2026-01-28T00:06:54+00:00,1000.013128,977.574536,0.0004484583,50034.96
2026-01-28T00:06:55+00:00,999.980193,966.377048,0.0006725805,49961.52
2026-01-28T00:06:55+00:00,999.982903,977.57544,0.0004484583,49965.55
2026-01-28T00:06:59+00:00,1000.004914,966.366745,0.0006725666,50014.63
2026-01-28T00:07:02+00:00,999.971312,955.170357,0.0008966527,49964.67
2026-01-28T00:07:02+00:00,1000.045143,966.385196,0.0006725666,50047.01
2026-01-28T00:07:20+00:00,999.984228,955.191473,0.0008966363,49956.44
2026-01-28T00:07:20+00:00,999.997767,966.38858,0.0006725666,49971.54
2026-01-28T00:08:06+00:00,999.991882,955.194101,0.0008966229,49962.79
2026-01-28T00:08:06+00:00,1000.001925,966.391089,0.0006725666,49973.99
2026-01-28T00:08:08+00:00,1000.028955,955.185864,0.0008966075,50014.18
2026-01-28T00:08:08+00:00,1000.033833,966.392308,0.0006725666,50019.62
